week,date,day,shift,slot,company,tier,company_id
2,2026-07-12,الأحد,الفترة الصباحية,2,هم حضرموت للاستيراد,A,1f123d3d-8901-4232-a76e-677f6704c67f
2,2026-07-12,الأحد,الفترة الصباحية,3,مؤسسة ابن القادري,B,0156baed-0154-47df-a3f4-87c7a87998ce
2,2026-07-12,الأحد,الفترة الصباحية,4,شركة إنما فارما,A,f40785dd-014b-453e-a559-cecbd7567403
2,2026-07-12,الأحد,الفترة الصباحية,5,مؤسسة السعادة الطبية,B,4030e19a-26bb-4a0a-831a-a827fd1c7287
2,2026-07-12,الأحد,الفترة الصباحية,6,صيدلية الهلال 3,A,63057e0f-2006-4072-bf6a-6f8156b8e9fc
2,2026-07-12,الأحد,الفترة الصباحية,7,الأسدين فارما,A,4aa8b2a2-1cb5-403e-bf96-685585fdac3f
2,2026-07-12,الأحد,الفترة المسائية,1,مؤسسة محمد عبد الفتاح,B,73136f1a-6b11-444b-9151-23617d2214a0
2,2026-07-12,الأحد,الفترة المسائية,2,ميديكا للصناعات الدوائية,A,177403b2-f23f-475a-8267-f4f8413a645e
2,2026-07-12,الأحد,الفترة المسائية,3,العبير فارما,A,4e688f9e-b8c7-4256-816f-566e18291984
2,2026-07-12,الأحد,الفترة المسائية,4,فواصل فارما,B,54a5da65-56a1-4388-9a39-f13ac5d794c2
2,2026-07-12,الأحد,الفترة المسائية,5,مجموعة الاتحاد للأدوية,B,55efa5dc-5188-4013-98b9-861964774783
2,2026-07-12,الأحد,الفترة المسائية,6,تداوي فارما,B,00f177eb-4b34-477f-875f-6c0bb60fddbf
2,2026-07-12,الأحد,الفترة المسائية,7,شركة الرشيد للأدوية,B,2082ab29-95f2-428a-a759-bc8cae539cfa
2,2026-07-12,الأحد,الفترة المسائية,8,ادفانس كير للأدوية,A,a1accde3-394b-458d-b57b-bc06254f6b4b
2,2026-07-13,الإثنين,الفترة الصباحية,1,عدينة فارما للأدوية,B,0e8d7667-d9b8-4a4c-893d-2ec5b6b13237
2,2026-07-13,الإثنين,الفترة الصباحية,2,شركة الفتح - قسم المهن,B,ac55c978-2a6d-42fa-83c0-6b6f29c63d51
2,2026-07-13,الإثنين,الفترة الصباحية,3,مؤسسة العنتري للأدوية,B,cc1739a3-48ad-4947-b4d2-f9d7972aafe3
2,2026-07-13,الإثنين,الفترة الصباحية,4,الشركة اليمنية المصرية,A,2b90f88e-fdbe-42aa-822a-a4b04c844f6d
2,2026-07-13,الإثنين,الفترة الصباحية,5,مخازن الزبيدي للأدوية,B,ae2fb31c-91fd-4a76-91f7-6b5872512589
2,2026-07-13,الإثنين,الفترة الصباحية,6,مؤسسة وادي بن علي,B,255bdc3a-d4f5-4e9c-9f73-d229f7673d2b
2,2026-07-13,الإثنين,الفترة الصباحية,7,ذا بست كير للأدوية,B,96e64700-4244-4447-859e-3cd2cde50b49
2,2026-07-13,الإثنين,الفترة المسائية,1,الجبل فارما - قسم الجبل,A,35a549a6-b17c-4c70-8fc6-87c525daf667
2,2026-07-13,الإثنين,الفترة المسائية,2,مدينة سام للتجارة,B,446a8900-d054-4ab6-af84-b7133f6bbb4a
2,2026-07-13,الإثنين,الفترة المسائية,3,المفضل فارما - المفضل,A,ab82e6ba-600b-483e-9332-edcae2b6d1a6
2,2026-07-13,الإثنين,الفترة المسائية,4,مخازن بلقيس - القسم العربي,A,fe7f09d4-8d61-4d8f-a172-f626502cc485
2,2026-07-13,الإثنين,الفترة المسائية,5,منير علي للاستيراد,B,ed05656b-f4d7-48d1-a80a-fa56ad43c73b
2,2026-07-13,الإثنين,الفترة المسائية,6,ريدان بن عباس,B,24bdcda5-8fbf-4d1a-a8d7-acd41fe4dbf8
2,2026-07-13,الإثنين,الفترة المسائية,7,بيور ديرمالاب,B,ff029cb7-cd76-4fb0-a468-808b336579d0
2,2026-07-13,الإثنين,الفترة المسائية,8,اصرار فارما,A,66bdbd3b-59a8-4d9c-8997-d771abd6f9c1
2,2026-07-14,الثلاثاء,الفترة الصباحية,1,القفلي للأدوية,B,608f251f-effd-483c-a1c9-e230885df129
2,2026-07-14,الثلاثاء,الفترة الصباحية,2,مسايا فارما للاستيراد,B,7bc4ad2d-2f60-47b1-ab38-0914ad9d0a54
2,2026-07-14,الثلاثاء,الفترة الصباحية,3,شركة الشرق للأدوية,B,2abfc327-1564-4d90-a983-3d87f43364c2
2,2026-07-14,الثلاثاء,الفترة الصباحية,4,سبأ فارما - عبده البتن,B,c24ab94c-4f9b-48c4-a3fc-5c65464eae64
2,2026-07-14,الثلاثاء,الفترة الصباحية,5,اوسبيتد ميديكال,B,f71597a8-036e-4c26-b593-99b77b6f5448
2,2026-07-14,الثلاثاء,الفترة الصباحية,6,مؤسسة المدينة,B,93779a72-7b1e-4541-bfd2-370fe5bb7351
2,2026-07-14,الثلاثاء,الفترة الصباحية,7,هيلث كير,B,f1586936-31d8-40ab-932f-10b577a33a14
2,2026-07-14,الثلاثاء,الفترة المسائية,1,صيدلية الهلال 1,A,bc497db6-c5ae-4a47-b8b6-880e570712da
2,2026-07-14,الثلاثاء,الفترة المسائية,2,محلات مياس للأدوية,B,bf86588b-e302-4c8a-8506-b44cf8daea40
2,2026-07-14,الثلاثاء,الفترة المسائية,3,ليدر فارما للأدوية,B,7be101b3-cc7b-4a4c-8232-c8a07ab9a250
2,2026-07-14,الثلاثاء,الفترة المسائية,4,ارض الريادة للاستيراد,A,cbf1f7ab-c9e9-4023-9fca-7bc6da62d3a2
2,2026-07-14,الثلاثاء,الفترة المسائية,5,شركة العابد - فارما,A,801e8daf-8535-415e-b71a-f5d2a054a268
2,2026-07-14,الثلاثاء,الفترة المسائية,6,شركة النهدي الطبية,A,39289db2-8a71-45c2-8650-7a83cf094dbe
2,2026-07-14,الثلاثاء,الفترة المسائية,7,شركة حضرموت الوادي,B,8091e163-c48b-4ff4-a07c-9e360edbcb2a
