week,date,day,shift,slot,legacy_slot,company,tier,company_id
2,2026-07-11,السبت,الفترة المسائية,9,9,مؤسسة المداني,B,8cba4ec5-d955-4aab-bae4-6dec82a773b3
3,2026-07-18,السبت,الفترة المسائية,9,9,مؤسسة المداني,B,8cba4ec5-d955-4aab-bae4-6dec82a773b3
4,2026-07-25,السبت,الفترة المسائية,9,9,مؤسسة المداني,B,8cba4ec5-d955-4aab-bae4-6dec82a773b3
1,2026-07-04,السبت,الفترة المسائية,10,10,محدب ميديكال,B,3495a8da-f19c-49fc-98e2-fe18c12fc1fa
2,2026-07-11,السبت,الفترة المسائية,10,10,محدب ميديكال,B,3495a8da-f19c-49fc-98e2-fe18c12fc1fa
3,2026-07-18,السبت,الفترة المسائية,10,10,محدب ميديكال,B,3495a8da-f19c-49fc-98e2-fe18c12fc1fa
4,2026-07-25,السبت,الفترة المسائية,10,10,محدب ميديكال,B,3495a8da-f19c-49fc-98e2-fe18c12fc1fa
1,2026-07-04,السبت,الفترة المسائية,11,1,مياس فارما للتجارة,A,a06217f3-d2c9-49b8-a8d1-1df7554d3eb0
2,2026-07-11,السبت,الفترة المسائية,11,1,مياس فارما للتجارة,A,a06217f3-d2c9-49b8-a8d1-1df7554d3eb0
3,2026-07-18,السبت,الفترة المسائية,11,1,مياس فارما للتجارة,A,a06217f3-d2c9-49b8-a8d1-1df7554d3eb0
4,2026-07-25,السبت,الفترة المسائية,11,1,مياس فارما للتجارة,A,a06217f3-d2c9-49b8-a8d1-1df7554d3eb0
1,2026-07-05,الأحد,الفترة الصباحية,1,1,احمد فارما,B,3480a7d3-17a5-4bcb-b10f-6cb6c9e2675e
2,2026-07-12,الأحد,الفترة الصباحية,1,1,احمد فارما,B,3480a7d3-17a5-4bcb-b10f-6cb6c9e2675e
3,2026-07-19,الأحد,الفترة الصباحية,1,1,احمد فارما,B,3480a7d3-17a5-4bcb-b10f-6cb6c9e2675e
4,2026-07-26,الأحد,الفترة الصباحية,1,1,احمد فارما,B,3480a7d3-17a5-4bcb-b10f-6cb6c9e2675e
1,2026-07-05,الأحد,الفترة الصباحية,2,2,الدواء ميديكال,B,77563f40-13d3-4837-917d-a6fa8e6f1054
